Last Modified,Effective Date,Cons Code,Constituent Name,SEDOL,CUSIP,Country Code,MIC Exchange Code,Currency Code,Index Marker,Current Subsector Code,ICB New Subsector Code,Closing Price,Price Adjustment Factor,Adjusted Price,Current Shares in Issue,New Shares in Issue,Current Investability Weight,New Investability Weight,Amendment Code,Amendment Notes
13/03/2023,20/03/2023,C17239,DIC Asset AG,BD1NML3,,GER,EDX,EUR,EEUI EGXA EGXC EGXJ EGXN EGXU ENGL EPDEU EPGR EPRA EXUK REUI RGXA RGXJ RGXN RGXU RNGL RPDEU RPGR RPRA RXUK,,35101010,,,8.870000000000000,,83152366,,62.800000000000,CA,Constituent addition
13/03/2023,20/03/2023,C90424,Deutsche Wohnen SE,B0YZ0Z5,,GER,EDX,EUR,RSSL RSXU SSEL SSXU,35101010,,20.660000,,,396934985,,12.396495408200,,CD,Constituent deletion
13/03/2023,20/03/2023,C70021,Equity Commonwealth,BPH3N63,294628102,USA,NAY,USD,EGNA EGNAL EGXA EGXC EGXE EGXJ EGXM ENGL RGNA RGXA RGXE RGXJ RGXM RNGL RNUS UNUS,35102030,,19.700000,,,109428252,,94.997796931744,,CD,Constituent deletion
13/03/2023,20/03/2023,C69878,Essex Prop Trust,2316619,297178105,USA,NAY,USD,EGNA EGNAL EGXA EGXC EGXE EGXJ EGXM ENGL RGNA RGXA RGXE RGXJ RGXM RNGL RNUS UNUS,35102040,,213.990000,,,65333024,64605000,99.274956300438,,IS,Quarterly Shares in Issue Update
13/03/2023,20/03/2023,C73781,Fastighets AB Balder B,BPMRNZ9,,SWED,SSS,SEK,EEUI EGXA EGXC EGXJ EGXN EGXU ELSD ENGL EPRA EXUK REUI RGXA RGXJ RGXN RGXU RLSD RNGL RPRA RSSL RSXU RXUK SSEL SSXU,35101010,,47.345000,,,1051623408,1086623408,57.371989172899,,IS,Quarterly Shares in issue update
13/03/2023,20/03/2023,C00043,GPT Group,6365866,,AU,AAS,AUD,EGAS EGAX EGPA EGXC EGXE EGXJ EGXM EGXN EGXU ELAU ENGL LPAU RGAS RGAX RGPA RGXE RGXJ RGXM RGXN RGXU RLAU RNGL RPAU,35102045,35102000,4.540000,,,1915577430,,100.000000000000,,SS,Classification Change
13/03/2023,20/03/2023,C84965,Global One Real Estate Investment,6693608,,JA,FJT,JPY,EGAS EGPA EGXC EGXE EGXM EGXN EGXU ELJP ENGL EPAA RGAS RGPA RGXE RGXM RGXN RGXU RLJP RNGL RPAA,35102030,,108500.000000,,,948996,1022826,100.000000000000,,IS,Quarterly Shares in Issue Update
13/03/2023,20/03/2023,C33902,Grainger,B04V127,,UK,EXL,GBX,RSSL SSEL,,35101010,,,237.800000000000000,,741308783,,98.147233941000,CA,Constituent addition
13/03/2023,20/03/2023,C150299,Grand City Properties,B8K9X70,,GER,EDX,EUR,RSSL RSXU SSEL SSXU,35101010,,8.780000,,,164962058,,57.410486565710,,CD,Constituent deletion
13/03/2023,20/03/2023,C70020,Healthpeak Properties Inc,BJBLRK3,42250P103,USA,NAY,USD,EGNA EGNAL EGXA EGXC EGXE EGXJ EGXM ENGL RGNA RGXA RGXE RGXJ RGXM RNGL RNUS UNUS,35102010,,21.470000,,,539557153,546782509,99.736420884546,,IS,Quarterly Shares in Issue Update
13/03/2023,20/03/2023,C175816,Impact Healthcare REIT,BYXVMJ0,,UK,EXL,GBX,EEUI EGXA EGXC EGXJ EGXN EGXU ELUK ENGL EPRA REUI RGXA RGXJ RGXN RGXU RNGL RPRA RPUK,35102010,,94.900000,,,404764328,414368169,77.029301603856,,IS,Quarterly Shares in issue update
13/03/2023,20/03/2023,C41014,Intervest Offices & Warehouses,5633605,,BELG,EBB,EUR,EEUI EGXA EGXC EGXJ EGXN EGXU ENGL EPBL EPDEU EPRA EXUK REUI RGXA RGXJ RGXN RGXU RNGL RPBL RPDEU RPRA RXUK,35102030,,19.060000,,,26577334,29235067,89.650000000000,,IS,Quarterly Shares in issue update
13/03/2023,20/03/2023,C138921,KENEDIX RESIDENTIAL NEXT INVESTMENT,B76BZX3,,JA,FJT,JPY,EGAS EGPA EGXC EGXE EGXM EGXN EGXU ELJP ENGL EPAA RGAS RGPA RGXE RGXM RGXN RGXU RLJP RNGL RPAA,35102040,,202800.000000,,,1045758,1070433,98.309881298640,,IS,Quarterly Shares in Issue Update
13/03/2023,20/03/2023,C06811,Keppel REIT,B12RQH4,,SI,FMS,SGD,EGAS EGAX EGPA EGXC EGXE EGXJ EGXM EGXN EGXU ELSI ENGL EPAA RGAS RGAX RGPA RGXE RGXJ RGXM RGXN RGXU RLSI RNGL RPAA,35102030,35102070,0.870000,,,3721893287,,57.860000000000,,SS,Classification Change
13/03/2023,20/03/2023,C168890,LaSalle Logiport REIT,BDD1L29,,JA,FJT,JPY,EGAS EGPA EGXC EGXE EGXM EGXN EGXU ELJP ENGL EPAA RGAS RGPA RGXE RGXM RGXN RGXU RLJP RNGL RPAA,35102070,35102020,155200.000000,,,1785000,,100.000000000000,,SS,Classification Change
13/03/2023,20/03/2023,C85476,MORI TRUST REIT,6729558,,JA,FJT,JPY,EGAS EGPA EGXC EGXE EGXM EGXN EGXU ELJP ENGL EPAA RGAS RGPA RGXE RGXM RGXN RGXU RLJP RNGL RPAA,35102030,35102000,70500.000000,,,3560000,,71.175280898876,,SS,Classification Change
13/03/2023,20/03/2023,C34387,Mirvac Group,6161978,,AU,AAS,AUD,EGAS EGAX EGPA EGXC EGXE EGXJ EGXM EGXN EGXU ELAU ENGL LPAU RGAS RGAX RGPA RGXE RGXJ RGXM RGXN RGXU RLAU RNGL RPAU,35102040,35102000,2.190000,,,3943069322,,99.890000000000,,SS,Classification Change
